HeroNum,Heighi,Age,Birthday,Character,Interest,boring,BgColor,Character_en,Interest_en
1,155,15,3/15,{文静},{观察动植物},0,2,Quiet,Observe plants and animals
2,162,17,9/3,"{内敛},{克制}",{学习魔法},0,3,"Reserved,Reserved",Learn magic
3,168,617,11/7,{外冷内热},{占卜},0,1,Aloof yet kind,Divination
4,165,17,8/12,"{热血},{好战}",{专研剑术},0,3,"Passionate,Belligerent",Study swordsmanship
5,167,22,7/20,"{坚毅},{执着}",{收集徽章},0,3,"Strong-willed,Persistent",Collect badges
6,158,17,3/24,"{温柔},{坚毅}",{编织花环},0,4,"Gentle,Strong-willed",Weave flower crowns
7,152,15,10/4,{天真烂漫},{画画},0,1,Artlessly Charming,Draw
8,160,17,8/15,"{正义},{勇敢}",{探险},0,1,"Just,Brave",Explore
9,157,16,6/9,{乐观},{散步},0,1,Optimistic,Take a walk
10,162,20,12/25,{理想主义},{阅读古籍},0,2,Idealistic,Read ancient books
11,165,16,10/31,{骄傲},{收集武器},0,4,Proud,Collect weapons
12,158,18,6/1,{古灵精怪},{逗弄妹妹},0,2,Charmingly Naughty,Tease younger sister
13,161,21,2/14,{温柔},{跳舞},0,1,Gentle,Dance
14,165,19,5/30,{完美主义},{唱歌},0,1,Perfectionist,Sing
15,161,22,9/20,"{温柔},{坚毅}",{烹饪},0,4,"Gentle,Strong-willed",Cook
16,172,22,1/5,{孤傲},{战斗},0,6,Aloof,Battle
17,155,14,7/7,"{敏感},{细腻}",{照料花卉},0,3,"Sensitive,Delicate",Tend flowers
18,152,25,11/13,"{狡黠},{现实}",{收集稀有珠宝},0,6,"Cunning,Realistic",Collect rare jewels
19,166,20,3/16,"{勇敢},{坚毅}",{探险},0,2,"Brave,Strong-willed",Explore
20,172,300,3/21,"{神秘},{清冷}",{培育奇异植物},0,1,"Mysterious,Refined and aloof",Cultivate exotic plants
21,152,510,12/22,"{温柔},{坚毅}",{钻研魔法},0,1,"Gentle,Strong-willed",Research magic
22,166,22,10/15,"{高傲},{倔强}",{参加舞会},0,6,"Haughty,Stubborn",Attend a ball
23,170,25,8/8,"{冷静},{果敢}",{讨论战术},0,6,"Calm,Resolute",Discuss tactics
24,162,253,4/17,{随性},{感知风息},0,2,Easygoing,Sense the wind
25,165,15,6/12,"{莽撞},{热情}",{锻炼怪力},0,5,"Reckless,Enthusiastic",Train monstrous strength
26,153,350,2/2,"{清冷},{孤独}",{感受大自然},0,1,"Refined and aloof,Lonely",Feel nature
27,165,230,5/3,"{纯真},{自由}",{森林歌舞},0,2,"Innocent,Free-spirited",Forest singing and dancing
28,169,22,11/11,"{坚毅},{执着}",{暗夜练刀},0,2,"Strong-willed,Persistent",Practice blades at night
29,163,24,9/15,"{悲悯},{善良}",{祈福祷告},0,1,"Compassionate,Kind",Pray
30,167,28,7/19,"{温柔},{亲和}",{收集古怪教具},0,4,"Gentle,Approachable",Collect strange teaching tools
31,172,420,12/12,"{冷静},{理性}",{钻研神秘魔法},0,1,"Calm,Rational",Study mysterious magic
32,168,350,6/6,"{飒爽},{不羁}",{品鉴下午茶},0,2,"Dashing,Unrestrained",Enjoy afternoon tea
33,160,20,3/3,"{纯粹},{热忱}",{做魔法实验},0,4,"Pure,Ardent",Conduct magic experiments
34,155,22,10/26,{冷酷},{回忆童年},0,1,Callous,Recall childhood
35,173,21,7/23,"{坚韧},{果决}",{山林探险},0,2,"Tough,Decisive",Mountain forest exploration
36,165,500,3/14,"{随性},{慵懒}",{雕琢海洋宝石},0,3,"Easygoing,Lazy",Carve ocean gems
37,170,800,11/9,"{神秘},{高冷}",{月下漫步},0,4,"Mysterious,Cold and aloof",Moonlit walk
38,158,16,1/18,"{温柔},{细心}",{魔术表演},0,1,"Gentle,Attentive",Magic performance
39,168,23,5/12,"{温柔},{善良}",{听故事},0,4,"Gentle,Kind",Listen to stories
40,164,505,3/8,"{坚毅},{执着}",{观星},0,1,"Strong-willed,Persistent",Stargaze
46,172,24,11/25,{沉稳},{打磨武器},0,3,Steady,Sharpen weapons
47,170,28,9/9,"{高傲},{不羁}",{挑战自我},0,6,"Haughty,Unrestrained",Challenge oneself
48,155,16,4/7,"{单纯},{执着}",{打理玫瑰园},0,1,"Simple,Persistent",Tend the rose garden
49,165,22,7/1,"{坚毅},{执着}",{追寻光},0,4,"Strong-willed,Persistent",Pursue light
50,150,15,2/28,{警惕性强},{钻研剑术},0,1,Vigilant,Study swordsmanship
51,166,625,10/9,{果决},{狩猎},0,1,Decisive,Hunt
52,157,18,12/3,"{骄傲},{心软}",{捉迷藏},0,6,"Proud,Soft-hearted",Play hide-and-seek
53,163,300,5/1,"{敏锐},{警觉}",{梳理羽毛},0,3,"Keen,Vigilant",Groom feathers
54,168,200,8/4,"{忠诚},{自律}",{擦拭军牌},0,1,"Loyal,Self-disciplined",Clean military tags
55,159,250,6/24,"{清冷},{自持}",{森林漫步},0,1,"Refined and aloof,Self-possessed",Forest walk
56,162,100,4/9,"{单纯},{细腻}",{发呆},0,4,"Simple,Delicate",Space out
57,156,15,2/8,"{敏感},{细腻}",{仰望星空},0,3,"Sensitive,Delicate",Gaze at the stars
58,152,14,1/14,"{单纯},{依赖}",{黏着达菲},0,6,"Simple,Dependent",Stick with Daffy
59,166,510,11/1,"{坚韧},{沉稳}",{研究神示预言},0,2,"Tough,Steady",Study divine prophecies
60,170,500,7/13,"{清冷},{神秘}",{阅读古籍},0,2,"Refined and aloof,Mysterious",Read ancient books
61,162,17,9/3,"{内敛},{克制}",{学习魔法},0,3,"Reserved,Reserved",Learn magic
62,168,617,11/7,{外冷内热},{占卜},0,1,Aloof yet kind,Divination
63,158,17,3/24,"{温柔},{坚毅}",{编织花环},0,4,"Gentle,Strong-willed",Weave flower crowns
64,161,21,2/14,{温柔},{跳舞},0,1,Gentle,Dance
65,165,19,5/30,{完美主义},{唱歌},0,1,Perfectionist,Sing
66,172,22,1/5,{孤傲},{战斗},0,3,Aloof,Battle
67,154,300,9/2,"{孤僻},{清冷}",{数萤火虫},0,3,"Withdrawn,Refined and aloof",Count fireflies
68,170,25,8/8,"{冷静},{果敢}",{讨论战术},0,2,"Calm,Resolute",Discuss tactics
69,169,22,11/11,"{坚毅},{执着}",{暗夜练刀},0,6,"Strong-willed,Persistent",Practice blades at night
70,168,350,6/6,"{飒爽},{不羁}",{品鉴下午茶},0,2,"Dashing,Unrestrained",Enjoy afternoon tea
71,170,800,11/9,"{神秘},{高冷}",{月下漫步},0,3,"Mysterious,Cold and aloof",Moonlit walk
72,168,23,5/12,"{温柔},{善良}",{听故事},0,4,"Gentle,Kind",Listen to stories
73,167,150,4/30,"{活泼},{随性}",{探索森林},0,1,"Lively,Easygoing",Explore the forest
74,172,24,11/25,{沉稳},{打磨武器},0,2,Steady,Sharpen weapons
75,170,28,9/9,"{高傲},{不羁}",{挑战自我},0,1,"Haughty,Unrestrained",Challenge oneself
76,150,15,2/28,{警惕性强},{钻研剑术},0,1,Vigilant,Study swordsmanship
77,166,625,10/9,{果决},{狩猎},0,1,Decisive,Hunt
78,157,18,12/3,"{骄傲},{心软}",{捉迷藏},0,6,"Proud,Soft-hearted",Play hide-and-seek
79,159,250,6/24,"{清冷},{自持}",{森林漫步},0,1,"Refined and aloof,Self-possessed",Forest walk
80,152,14,1/14,"{单纯},{依赖}",{黏着达菲},0,4,"Simple,Dependent",Stick with Daffy
84,153,16,3/25,"{懵懂},{迷糊}",{睡觉},0,1,"Clueless,Confused",Sleep
85,170,20,10/17,"{豪爽},{直率}",{品尝美食},0,1,"Forthright,Blunt",Taste delicious food
86,173,23,6/18,"{健忘},{忠诚}",{晒太阳},0,4,"Forgetful,Loyal",Sunbathe
87,168,22,7/12,"{优雅},{独立}",{品茶},0,6,"Graceful,Independent",Drink tea
88,166,22,10/15,"{高傲},{倔强}",{参加舞会},0,6,"Haughty,Stubborn",Attend a ball
89,160,20,3/3,"{纯粹},{热忱}",{做魔法实验},0,4,"Pure,Ardent",Conduct magic experiments
90,158,25,5/8,"{开朗},{谨慎}",{调酒},0,2,"Cheerful,Prudent",Mix drinks
91,156,15,2/8,"{敏感},{细腻}",{仰望星空},0,5,"Sensitive,Delicate",Gaze at the stars
92,166,510,11/1,"{坚韧},{沉稳}",{研究神示预言},0,2,"Tough,Steady",Study divine prophecies
93,172,300,3/21,"{神秘},{清冷}",{培育奇异植物},0,1,"Mysterious,Refined and aloof",Cultivate exotic plants
94,155,20,2/11,"{谦逊},{勤奋}",{力量训练},0,1,"Humble,Diligent",Strength training
95,170,200,11/3,"{乐观},{温暖}",{种向日葵},0,2,"Optimistic,Warm",Grow sunflowers
96,164,20,8/17,{正义},{光绘},0,3,Just,Light painting
97,167,25,12/31,"{敏锐},{淡漠}",{聆听自然},0,2,"Keen,Indifferent",Listen to nature
98,170,200,11/3,"{乐观},{温暖}",{种向日葵},0,1,"Optimistic,Warm",Grow sunflowers
99,166,150,9/19,{孤僻},{收藏怀表},0,4,Withdrawn,Collect pocket watches
100,172,18,1/1,{渴暖者},{独处思考},0,4,Warmth-seeker,Think alone
101,166,23,4/20,{虔诚},{冥想},0,1,Devout,Meditate
103,167,25,5/19,{冷漠},{喂养流浪猫},0,6,Apathetic,Feed stray cats
104,158,22,7/24,{温柔},{照料植物},0,1,Gentle,Care for plants
105,170,500,10/3,"{神秘},{清冷}",{独自小酌},0,3,"Mysterious,Refined and aloof",Drink alone
106,155,150,2/22,"{纯真},{善良}",{外出探险},0,1,"Innocent,Kind",Go on adventures
107,153,160,3/12,{顽皮},{恶作剧},0,1,Playful,Play pranks
108,163,20,5/25,"{自由},{不羁}",{与大自然交流},0,5,"Free-spirited,Unrestrained",Communicate with nature
109,165,25,9/28,"{警醒},{自律}",{研读古籍},0,6,"Alert,Self-disciplined",Study ancient books
110,163,170,6/11,{坚韧},{收集红宝石},0,1,Tough,Collect rubies
111,167,300,8/7,"{悲悯},{仁爱}",{观察云朵变化},0,1,"Compassionate,Kind-hearted",Observe cloud changes
112,166,27,11/6,"{冰冷},{孤绝}",{保养兵器},0,3,"Icy,Isolated",Maintain weapons
113,156,120,4/3,"{敏感},{内向}",{收集月光石},0,2,"Sensitive,Introverted",Collect moonstones
114,172,25,7/15,{愤世嫉俗},{金属雕刻},0,6,Cynical,Metal engraving
115,162,200,2/5,"{理性},{睿智}",{破译古代铭文},0,2,"Rational,Wise",Decipher ancient inscriptions
116,167,300,10/19,"{仁心},{冷酷}",{采摘药草},0,5,"Great Physician,Callous",Gather herbs
117,168,16,4/4,{双重人格},{白色小花},0,4,Dual Personality,White Flowers
118,170,20,10/31,"{狂傲},{骄纵}",{挑战},0,6,"Arrogance,Willfulness",Challenge
119,155,15,3/15,{文静},{观察动植物},0,1,Quiet,Observe plants and animals
120,167,300,10/19,"{仁心},{冷酷}",{采摘药草},0,7,"Great Physician,Callous",Gather herbs
121,162,200,2/5,"{理性},{睿智}",{破译古代铭文},0,2,"Rational,Wise",Decipher ancient inscriptions
122,158,25,5/8,"{开朗},{谨慎}",{调酒},0,2,"Cheerful,Prudent",Mix drinks
